Year,Month,Country,Production Type,Installed Capacity (MW),Total Grand Capacity (MW)
2025,,DE,Wind Offshore,9215,
2025,,DE,Wind Onshore,63192.17,
2025,,DE,,,274481.91
2023,,HU,Biomass,212.65,
2023,,HU,Energy storage,n/e,
2023,,HU,Fossil Brown coal/Lignite,786.56,
2023,,HU,Fossil Coal-derived gas,n/e,
2023,,HU,Fossil Gas,3151.14,
2023,,HU,Fossil Hard coal,42.34,
2023,,HU,Fossil Oil,424.8,
2023,,HU,Fossil Oil shale,n/e,
2023,,HU,Fossil Peat,n/e,
2023,,HU,Geothermal,2.7,
2023,,HU,Hydro Pumped Storage,n/e,
2023,,HU,Hydro Run-of-river and pondage,33.03,
2023,,HU,Hydro Water Reservoir,28.16,
2023,,HU,Marine,n/e,
2023,,HU,Nuclear,1915.6,
2023,,HU,Other,21.84,
2023,,HU,Other renewable,70.32,
2023,,HU,Solar,3300.37,
2023,,HU,Waste,49.44,
2023,,HU,Wind Offshore,n/e,
2023,,HU,Wind Onshore,323.28,
2023,,HU,,,10362.23
2024,,HU,Biomass,313.65,
2024,,HU,Energy storage,n/e,
2024,,HU,Fossil Brown coal/Lignite,786.56,
2024,,HU,Fossil Coal-derived gas,n/e,
2024,,HU,Fossil Gas,3166.4,
2024,,HU,Fossil Hard coal,42.34,
2024,,HU,Fossil Oil,424.8,
2024,,HU,Fossil Oil shale,n/e,
2024,,HU,Fossil Peat,n/e,
2024,,HU,Geothermal,2.7,
2024,,HU,Hydro Pumped Storage,n/e,
2024,,HU,Hydro Run-of-river and pondage,33,
2024,,HU,Hydro Water Reservoir,28.16,
2024,,HU,Marine,n/e,
2024,,HU,Nuclear,1915.6,
2024,,HU,Other,35.29,
2024,,HU,Other renewable,70.82,
2024,,HU,Solar,4029.08,
2024,,HU,Waste,49.44,
2024,,HU,Wind Offshore,n/e,
2024,,HU,Wind Onshore,325.07,
2024,,HU,,,11222.92
2025,,HU,Biomass,313.65,
2025,,HU,Energy storage,n/e,
2025,,HU,Fossil Brown coal/Lignite,786.56,
2025,,HU,Fossil Coal-derived gas,n/e,
2025,,HU,Fossil Gas,2975.01,
2025,,HU,Fossil Hard coal,42.34,
2025,,HU,Fossil Oil,424.8,
2025,,HU,Fossil Oil shale,n/e,
2025,,HU,Fossil Peat,n/e,
2025,,HU,Geothermal,2.7,
2025,,HU,Hydro Pumped Storage,n/e,
2025,,HU,Hydro Run-of-river and pondage,34.2,
2025,,HU,Hydro Water Reservoir,28.16,
2025,,HU,Marine,n/e,
2025,,HU,Nuclear,1915.6,
2025,,HU,Other,145.99,
2025,,HU,Other renewable,70.49,
2025,,HU,Solar,8281.22,
2025,,HU,Waste,49.44,
2025,,HU,Wind Offshore,n/e,
2025,,HU,Wind Onshore,325.07,
2025,,HU,,,15395.24
